Term,Meaning (VI),Target EN,Target ZH,Enable
Job title,Trưởng ngành,Section leader,課長,TRUE
Job title,Kế toán trưởng,Chief Accountant,会计长,TRUE
Job title,Kế toán phó,Deputy Accountant,副会计长,TRUE
Job title,Phó chủ nhiệm việt nam,Deputy Head of Department,越南副主任,TRUE
Job title,Nhân viên,Staff,职员,TRUE
Job title,Chủ nhiệm,Head of Department,主任,TRUE
Job title,Cán bộ tập sự,Trainee Team Leader,實習幹部,TRUE
Job title,Trưởng Bộ Phận,Team Leader,组长,TRUE
Job title,Trưởng Phòng,Department Leader,课长,TRUE
Job title,Phó phòng,Deputy Department Leader,副课长,TRUE
Job title,Phó Trưởng Xưởng,Deputy Factory manager,副廠長,TRUE
Job title,Giám đốc SEA,SEA Manager,SEA 经理,TRUE
Job title,Trưởng Xưởng,Factory manager,廠長,TRUE
Job title,Giám  đốc điều hành,Senior Manager,執經,TRUE
Job title,Tương Lý, Assistant Manager,襄理,TRUE
Job title,Tổng giám đốc,General Manager,總經理,TRUE
Job title,Phó tổng giám  đốc,Deputy General Manager,副總,TRUE
Job title,Trợ lý đặc biệt,Special Assistant,特助,TRUE
Component,Trang trí hậu HN,Lateral Heel Patch,後套飾片 (外腰),TRUE
Job title,Phó hiệp lý,Factory director,副協理,TRUE
Material,Thân HT,Medial quarter ,鞋身內腰,TRUE
Quality,Vệ sinh dơ,Soiling,脏污,TRUE
Component,Hở keo,Bonding gap,开胶,TRUE
Quality,Keo cao,Over - cementing,高胶,TRUE
Quality,Thân giày(HT+HN),Quarter (lateral+medial),鞋身(HT+HN),TRUE
Quality,Chỉ dư,Over thread,线头,TRUE
Material,tưa biên,Frayed edge,毛边,TRUE
Component,Mài trầy vật tư,Over - buffing,过度打粗,TRUE
Material,Cách biên không đều,Edge Distance Variation,编剧落差,TRUE
Quality,Nhăn mặt giày,Wrinkled upper,鞋面起皱,TRUE
Quality,Logo trang trí hậu cao thấp,Uneven Heel Cap Logo,后跟标志偏差,TRUE
Dept name,A_G01,A_G01,A栋-成型 LINE 1,TRUE
Dept name,A_G02,A_G02,A栋-成型 LINE 2,TRUE
Dept name,A_G03,A_G03,A栋-成型 LINE 3,TRUE
Dept name,A_G04,A_G04,A栋-成型 LINE 4,TRUE
Dept name,A_G05,A_G05,A栋-成型 LINE 5,TRUE
Dept name,A_G06,A_G06,A栋-成型 LINE 6,TRUE
Dept name,A_G07,A_G07,A栋-成型 LINE 7,TRUE
Dept name,A_G08,A_G08,A栋-成型 LINE 8,TRUE
Dept name,A_G09,A_G09,A栋-成型 LINE 9,TRUE
Dept name,A_G10,A_G10,A栋-成型 LINE 10,TRUE
Dept name,A_G11,A_G11,A栋-成型 LINE 11,TRUE
Dept name,A_G12,A_G12,A栋-成型 LINE 12,TRUE
Dept name,A_G13,A_G13,A栋-成型 LINE 13,TRUE
Dept name,A_G16,A_G16,A栋-成型 LINE 16,TRUE
Dept name,A_M01,A_M01,A栋-針車 LINE 1,TRUE
Dept name,A_M02,A_M02,A栋-針車 LINE 2,TRUE
Dept name,A_M03,A_M03,A栋-針車 LINE 3,TRUE
Dept name,A_M04,A_M04,A栋-針車 LINE 4,TRUE
Dept name,A_M05,A_M05,A栋-針車 LINE 5,TRUE
Dept name,A_M06,A_M06,A栋-針車 LINE 6,TRUE
Dept name,A_M08,A_M08,A栋-針車 LINE 8,TRUE
Dept name,A_M09,A_M09,A栋-針車 LINE 9,TRUE
Dept name,A_M10,A_M10,A栋-針車 LINE 10,TRUE
Dept name,A_M11,A_M11,A栋-針車 LINE 11,TRUE
Dept name,A_M12,A_M12,A栋-針車 LINE 12,TRUE
Dept name,A_M13,A_M13,A栋-針車 LINE 13,TRUE
Dept name,A1_G01,A1_G01,A1栋-成型 LINE 01,TRUE
Dept name,A1_G02,A1_G02,A1栋-成型 LINE 02,TRUE
Dept name,A1_G03,A1_G03,A1栋-成型 LINE 03,TRUE
Dept name,A1_G04,A1_G04,A1栋-成型 LINE 04,TRUE
Dept name,A1_G05,A1_G05,A1栋-成型 LINE 05,TRUE
Dept name,A1_G06,A1_G06,A1栋-成型 LINE 06,TRUE
Dept name,A1_G07,A1_G07,A1栋-成型 LINE 07,TRUE
Dept name,A1_G08,A1_G08,A1栋-成型 LINE 08,TRUE
Dept name,A1_G09,A1_G09,A1栋-成型 LINE 09,TRUE
Dept name,A1_KHO MŨ,A1_UPPER WH,A1 _ 鞋面倉,TRUE
Dept name,A1_UV,A1_UV,A1_UV,TRUE
Dept name,A2_CHẶT 08,A2_CUTTING 08,A2_裁断08,TRUE
Dept name,A2_CHẶT 09,A2_CUTTING 09,A2_裁断09,TRUE
Dept name,A2_CHẶT 10,A2_CUTTING 10,A2_裁断10,TRUE
Dept name,A2_CHẶT 11,A2_CUTTING 11,A2_裁断11,TRUE
Dept name,A2_CHẶT 12,A2_CUTTING 12,A2_裁断12,TRUE
Dept name,A2_CHẶT 13,A2_CUTTING 13,A2_裁断13,TRUE
Dept name,A2_UV,A2_UV,A2_UV,TRUE
Dept name,A4_CHẶT 1,A4_CUTTING 1,A4_裁断1,TRUE
Dept name,A4_UV,A4_UV,A4_UV,TRUE
Dept name,B_G01,B_G01,B-成型 LINE 1,TRUE
Dept name,B_G02,B_G02,B-成型 LINE 2,TRUE
Dept name,B_G03,B_G03,B-成型 LINE 3,TRUE
Dept name,B_G05,B_G05,B-成型 LINE 5,TRUE
Dept name,B_G06,B_G06,B-成型 LINE 6,TRUE
Dept name,B_M01,B_M01,B-針車 LINE 1,TRUE
Dept name,B_M02,B_M02,B-針車 LINE 2,TRUE
Dept name,B_M03,B_M03,B-針車 LINE 3,TRUE
Dept name,B_M06,B_M06,B-針車 LINE 6,TRUE
Dept name,B_MAIDE,B_BUFFING,B-磨大底,TRUE
Dept name,B2_CHẶT,B2_CUTTING,B2_裁断,TRUE
Dept name,B2_UV,B2_UV,B2-UV,TRUE
Dept name,BẢO VỆ,SECURITY,守衛,TRUE
Dept name,C_G01,C_G01,C_成型 LINE 1,TRUE
Dept name,C_G02,C_G02,C_成型 LINE 2,TRUE
Dept name,C_G03,C_G03,C_成型 LINE 3,TRUE
Dept name,C_G04,C_G04,C_成型 LINE 4,TRUE
Dept name,C_G05,C_G05,C_成型 LINE 5,TRUE
Dept name,C_G06,C_G06,C_成型 LINE 6,TRUE
Dept name,C_G07,C_G07,C_成型 LINE 7,TRUE
Dept name,C_M01,C_M01,C_針車 LINE 1,TRUE
Dept name,C_M02,C_M02,C_針車 LINE 2,TRUE
Dept name,C_M03,C_M03,C_針車 LINE 3,TRUE
Dept name,C_M04,C_M04,C_針車 LINE 4,TRUE
Dept name,C_M05,C_M05,C_針車 LINE 5,TRUE
Dept name,C_M06,C_M06,C_針車 LINE 6,TRUE
Dept name,C_UV,C_UV,C_UV,TRUE
Dept name,C2_CHẶT,C2_CUTTING,C2_裁断,TRUE
Dept name,CẮT RẬP,PATTERN ROOM,割模具板,TRUE
Dept name,CBSX_ECT,HF,生產準備組 –高週波,TRUE
Dept name,CBSX_EN1,Heat pressing 1,備料生產-熱壓機1,TRUE
Dept name,CBSX_EN2,Heat pressing 2,備料生產-熱壓機2,TRUE
Dept name,CBSX_INLUA,Printing department,备料生产组 - 印刷組,TRUE
Dept name,CHỈNH LÝ ĐẾ,Outsole Treatment,大底整理,TRUE
Dept name,CHUẨN BỊ LIỆU ĐẾ,Outsole compound preparation,准备大底的原料,TRUE
Dept name,CICH,Public welfare,公益,TRUE
Dept name,CƠ ĐIỆN,mechanical,機械,TRUE
Dept name,CÔNG ĐOÀN,Union,工團,TRUE
Dept name,FIT,FIT,FIT,TRUE
Dept name,G3_CHẶT,G3_CUTTING,G3_裁断,TRUE
Dept name,G3_G01,G3_G01,G3_成型 LINE1,TRUE
Dept name,G3_G02,G3_G02,G3_成型 LINE2,TRUE
Dept name,G3_G03,G3_G03,G3_成型 LINE3,TRUE
Dept name,G3_G05,G3_G05,G3_成型 LINE5,TRUE
Dept name,G3_G07,G3_G07,G3_成型 LINE7,TRUE
Dept name,G3_G08,G3_G08,G3_成型 LINE8,TRUE
Dept name,G3_M01,G3_M01,G3_针车 LINE 1,TRUE
Dept name,G3_M02,G3_M02,G3_针车 LINE 2,TRUE
Dept name,G3_M03,G3_M03,G3_针车 LINE 3,TRUE
Dept name,G3_M05,G3_M05,G3_针车 LINE 5,TRUE
Dept name,G3_UV,G3_UV,G3-UV,TRUE
Dept name,G4_CHẶT,G4_CUTTING,G4_裁断 ,TRUE
Dept name,G4_G01,G4_G01,G4_成型 LINE 1,TRUE
Dept name,G4_G02,G4_G02,G4_成型 LINE 2,TRUE
Dept name,G4_G03,G4_G03,G4_成型 LINE 3,TRUE
Dept name,G4_G05,G4_G05,G4_成型 LINE 5,TRUE
Dept name,G4_G06,G4_G06,G4_成型 LINE 6,TRUE
Dept name,G4_G07,G4_G07,G4_成型 LINE 7,TRUE
Dept name,G4_G08,G4_G08,G4_成型 LINE 8,TRUE
Dept name,G4_M01,G4_M01,G4_针车 LINE 1,TRUE
Dept name,G4_M02,G4_M02,G4_针车 LINE 2,TRUE
Dept name,G4_M03,G4_M03,G4_针车 LINE 3,TRUE
Dept name,G4_M05,G4_M05,G4_针车 LINE 5,TRUE
Dept name,G4_M07,G4_M07,G4_针车 LINE 7,TRUE
Dept name,G4_M08,G4_M08,G4_针车 LINE 8,TRUE
Dept name,G4_UV,G4_UV,G4_UV,TRUE
Dept name,GIA CÔNG ĐẾ _C11,Stockfit C11,底加工十一線,TRUE
Dept name,GIA CÔNG ĐẾ_C 10,Stockfit C10,底加工十線,TRUE
Dept name,GIA CÔNG ĐẾ_C1,Stockfit C1,底加工一線,TRUE
Dept name,GIA CÔNG ĐẾ_C12,Stockfit C12,底加工十二線,TRUE
Dept name,GIA CÔNG ĐẾ_C2,Stockfit C2,底加工二線,TRUE
Dept name,GIA CÔNG ĐẾ_C3,Stockfit C3,底加工三線,TRUE
Dept name,GIA CÔNG ĐẾ_C4,Stockfit C4,底加工四線,TRUE
Dept name,GIA CÔNG ĐẾ_C5,Stockfit C5,底加工五線,TRUE
Dept name,GIA CÔNG ĐẾ_C6,Stockfit C6,底加工六線,TRUE
Dept name,GIA CÔNG ĐẾ_C7,Stockfit C7,底加工七線,TRUE
Dept name,GIA CÔNG ĐẾ_C8,Stockfit C8,底加工八線,TRUE
Dept name,GIA CÔNG ĐẾ_C9,Stockfit C9,底加工九線,TRUE
Dept name,GIA CÔNG ĐẾ_KẾ HOACH,Stockfit Planning,底加工-生管,TRUE
Dept name,GIA CÔNG ĐẾ_MAIDE,Stockfit Buffing,底加工-磨大底,TRUE
Dept name,GIA CÔNG ĐẾ_UV,Stockfit UV,底加工- UV   ,TRUE
Dept name,GME,GME,GME,TRUE
Dept name,GQA,GQA,GQA,TRUE
Dept name,IT - Phần cứng,IT - Hardware,IT_Hard,TRUE
Dept name,IT - Phần mềm,IT - Software,IT_Soft,TRUE
Dept name,KẾ HOẠCH,Planning,生管,TRUE
Dept name,KẾ HOẠCH ĐẾ,Planning outsole,大底生管,TRUE
Dept name,KẾ TOÁN,Accounting,会计,TRUE
Dept name,KẾ TOÁN KHO,Accounting of Warehouse,会计仓库,TRUE
Dept name,KHC,Chemical Warehouse,化料倉庫,TRUE
Dept name,KHO ĐẾ LỚN,Outsole Warehouse,大底倉,TRUE
Dept name,KHO FOM,Last warehouse,楦頭倉,TRUE
Dept name,KHO NGUYÊN LIỆU,Material warehouse,材料倉,TRUE
Dept name,Kỹ thuật cán cao su,Rubber room lab,"大底廠,大車技轉",TRUE
Dept name,KTP,Finished goods WH,成品倉,TRUE
Dept name,KỸ THUẬT,Tech team,技术部,TRUE
Dept name,LAB,LAB,LAB,TRUE
Dept name,LHG_CI,FME,LHG_CI,TRUE
Dept name,LHG_ĐỊNH MỨC,Usage,LHG_用量,TRUE
Dept name,LHG_KỸ THUẬT HÓA CHẤT,CE,LHG-化学技术,TRUE
Dept name,LHG_TỔNG VỤ (THU MUA),General purchasing,LHG_總務（採購）,TRUE
Dept name,MCBTĐ,Semi auto cutting,半自動裁断机,TRUE
Component,MÁY NGHIỀN,CRUSHER,破碎机,TRUE
Dept name,MCTĐ,Auto Cutting,自动裁断机,TRUE
Material,NGHIỆP VỤ,Business,业务,TRUE
Dept name,NGHIỆP VỤ ĐẾ,Bottom business,底业务,TRUE
Dept name,Nhà ăn,Canteen,食堂,TRUE
Dept name,Nhân viên mới,Newcomer,新進,TRUE
Dept name,PHÁT HÀNG GIA CÔNG,Outsourcing,外发加工,TRUE
Dept name,PHÒNG KEO,Mixing room,调膠房,TRUE
Dept name,QC 01,QC 01,品檢1,TRUE
Dept name,QC 02,QC 02,品檢2,TRUE
Dept name,QC 03,QC 03,品檢3,TRUE
Dept name,QC 04,QC 04,品檢4,TRUE
Dept name,QC 05,QC 05,品檢5,TRUE
Dept name,QC 06,QC 06,品檢6,TRUE
Dept name,QC 07,QC 07,品檢7,TRUE
Dept name,QC 08,QC 08,品檢8,TRUE
Dept name,QC 09,QC 09,品檢9,TRUE
Dept name,QC 10,QC 10,品檢10,TRUE
Dept name,QC 11,QC 11,品檢11,TRUE
Dept name,QIP,QIP,QIP,TRUE
Dept name,SEA,SEA,SEA,TRUE
Dept name,THỢ MÁY,Mechanic,机修,TRUE
Dept name,THU MUA,Purchasing,采购,TRUE
Dept name,THU MUA ĐẾ,Outsole purchasing,大底采购,TRUE
Dept name,TỔ PHUN SƠN,Spray painting team,喷漆组,TRUE
Dept name,TTĐT,Training Center,培訓中心,TRUE
Dept name,TRUNG TÂM MÁY CHẶT,Centralized cutting area,集中裁斷區,TRUE
Dept name,TRUNG TÂM MÁY CHẶT 01,Centralized cutting area 01,集中裁斷區_01,TRUE
Dept name,TRUNG TÂM MÁY CHẶT 02,Centralized cutting area 02,集中裁斷區_02,TRUE
Dept name,VẠN MÃ LỰC,Rubber mixing,万马力,TRUE
Dept name,VĂN PHÒNG KHAI THÁC MẪU_R1,Sample Development Office_R1,样品开发办公室_R1,TRUE
Dept name,VĂN PHÒNG SẢN XUẤT,Production Office,生產辦公室,TRUE
Dept name,VPCT,office building,办公楼,TRUE
Dept name,VPHT D1,Production floor office D1,现场办公室D1,TRUE
Dept name,VPHTA1,Production floor office A1, 現場辦公室A1,TRUE
Dept name,VPHTA2,Production floor office A2, 現場辦公室A2,TRUE
Dept name,VPHTA4,Production floor office A4, 現場辦公室A4,TRUE
Dept name,VPHTB1,Production floor office B1,現場辦公室B1,TRUE
Dept name,VPHTB2,Production floor office B2,現場辦公室B2,TRUE
Dept name,VPHTC2,Production floor office C2,現場辦公室C2,TRUE
Dept name,VPHTD3,Production floor office D3,現場辦公室D3,TRUE
Dept name,VPHTD4,Production floor office D4,現場辦公室D4,TRUE
Dept name,VPHTG3,Production floor office G3,現場辦公室G3,TRUE
Dept name,VPHTG4,Production floor office G4,現場辦公室G4,TRUE
Dept name,VPHTR1,Production floor office R1,現場辦公室R1,TRUE
Dept name,VPHTR2,Production floor office R2,現場辦公室R2,TRUE
Dept name,VPX,Operation Office,廠務室,TRUE
Dept name,XỬ LÝ NƯỚC THẢI,Wastewater treatment plant, 廢水處理廠,TRUE
Dept name,Xuất nhập khẩu,import and export,进出口,TRUE
Dept name,XƯỞNG ĐẾ,Bottom Factory,底廠,TRUE
Dept name,Y TẾ,Clinic,医务室,TRUE
Dept name,Đệm ô dê,Eyestay ,眼片,TRUE
Dept name,Dây gót,Back strap,後吊,TRUE
Dept name,Tăng cường Bao hậu,Heel rubber reinforcement,後包片,TRUE
Component,tái chế,repacking,翻箱,TRUE
Component,Mũi-thân HN,Vamp - lateral quarter ,鞋頭－鞋身外腰,TRUE
Component,Mũi-lưỡi gà,Vamp - tongue,鞋頭-鞋舌,TRUE
Component,Mũi giày,Vamp   ,鞋頸,TRUE
Component,Vòng cổ,Collar,領口,TRUE
Component,Vòng cổ dưới,Bottom collar,領口下片,TRUE
Material,Vòng cổ hông trong,Collar medial ,內領口,TRUE
Component,Vòng cổ giữa,Central Collar,領口中片,TRUE
Material,Mũi đệm,Eyestay Vamp,鞋頭眼片,TRUE
Component,Trang trí gót,Back strap patch,後跟飾片,TRUE
Component,Máy quay keo nóng chảy,Hotmelt rolling macthine, 过胶机,TRUE
Component,Lót thân-mũi HT+HN,Quarter lining - medial + lateral collar,鞋身內裡－鞋頭內外腰,TRUE
Component,Lót mũi-lgà,Vamp lining - tongue lining,鞋舌-鞋頭內裡,TRUE
Component,Lưỡi gà trên,Top tongue,上鞋舌,TRUE
Material,Lưỡi gà giữa,Central tongue,中鞋舌,TRUE
Component,Đế carton,Carton outsole,中底紙版,TRUE
Component,Mouse vcổ,Collar padding,領口泡棉,TRUE
Material,Mouse lgà,Tongue padding,鞋舌泡棉,TRUE
Component,Lưỡi gà dưới,Bottom tongue,下鞋舌,TRUE
Machine,Cà chân gò thân,Rolling the edge of quarter,手輪鞋身幫腳,TRUE
Component,Cà chân gò vòng sân,Rolling the edge of toe cap,手輪前套幫腳,TRUE
Component,Cà dây gót,Rolling back strap,手輪後吊,TRUE
Component,Cà dây quai lưỡi gà,Rolling tongue laceloops,剪鞋舌吊帶,TRUE
Material,Cà lăn đế,Rolling outsole,手輪中底,TRUE
Component,Cắt chỉ,Cutting thread,剪線,TRUE
Material,Lót đệm,eyestay lining,,TRUE
Component,Lót đệm ôde miếng phủ vcổ,Eyestay lining and collar overlay,眼片內裡貼上領口,TRUE
Component,Lót đệm ôde thân,Quarter eyestay lining,眼片內裡,TRUE
Component,Lót đệm trên,Upper eyestay lining,上眼片內裡,TRUE
Component,Lót lưỡi gà,Tongue lining,鞋舌內裡,TRUE
Component,Lót lưỡi gà dưới,Bottom tongue lining,下內裡領口,TRUE
Component,Lót lưỡi gà trên,Top tongue lining,上內裡鞋舌,TRUE
Component,Lót miếng phủ thân,Quarter overlay,鞋身內理,TRUE
Component,Lưỡi gà,Tongue,鞋舌,TRUE
Component,Lót tt vòng cổ,Collar patch lining,領口內裡飾片,TRUE
Component,Lót thân - vòng cổ,Quarter lining - Collar,鞋身內裡-內裡領口,TRUE
Material,Lót thân HN,Lateral quarter lining,鞋身內裡外腰,TRUE
Material,Lót thân HT,Medial quarter lining,鞋身內裡內腰,TRUE
Material,Lót thân sau,Rear quarter lining ,後鞋身內裡,TRUE
Material,Lót thân trước,Front quarter lining ,前鞋身內裡,TRUE
Material,Lót trang trí hậu,Heel patch lining,後套飾片內裡,TRUE
Material,Lót vòng cổ,Collar lining,領口內裡,TRUE
Material,Lót vòng cổ dưới ,Bottom collar lining,領口內裡下片,TRUE
Material,Lót vòng cổ giữa,Middle collar lining ,中內裡領口,TRUE
Material,Lót vòng cổ trên,Top collar lining ,上內裡領口,TRUE
production,Lót thân,Quarter lining   ,鞋身內裡,TRUE
Component,Lót mũi-thân,Vamp lining - quarter lining ,鞋身-鞋頭內裡,TRUE
Material,May ráp vòng cổ trên vào vòng cổ,Stitching top collar onto collar,車接上領口於領口,TRUE
Material,May tt logo thân,Stitching quarter deco logo,車鞋身LOGO飾片,TRUE
Material,Mếng phủ vòng cổ,Collar overlay,領口蓋片,TRUE
Material,miếng chắn bùn,Mudguard,檔泥片,TRUE
Material,Lót mũi,Vamp lining  ,鞋頭內裡,TRUE
Material,Lót hậu,Heel lining,後套內裡,TRUE
Material,Mũi-thân giày,Vamp-Quarter,鞋頭-鞋身,TRUE
Material,Nhám bông,Loop,毛帶,TRUE
Material,Nhám móc,Hook,勾帶,TRUE
Material,Nhãn đế trung,Sockliner logo ,中底標,TRUE
Material,Nhãn lưỡi gà,Tongue label,鞋舌標,TRUE
Material,PE vòng cổ,Collar PE,PE領口,TRUE
Component,PU gót,Back stripe PU,後跟,TRUE
Material,Tăng cường,Reinforcement,補強,TRUE
Component,Thân dưới,Bottom quarter,下鞋身,TRUE
Material,Thân dưới gót,Heel bottom quarter,下後吊的鞋身,TRUE
Material,Thân dưới lớn,Big bottom quarter,下大的鞋身,TRUE
Material,Thân dưới mũi,Vamp bottom quarter,下鞋頭的鞋身,TRUE
Material,Thân dưới nhỏ,Small  bottom quarter,下小的鞋身,TRUE
Component,Thân giày trên,Top quarter,鞋身上片,TRUE
Job title,Hiệp lý,Director,協理,TRUE
Material,Thân-đệm (T-N),Quarter-Eystay,鞋身，眼片，（內，外腰）,TRUE
Material,Trang trí  lưỡi gà sau khi ép,Tongue patch after HF,壓鞋舌片後,TRUE
Material,Trang trí đệm vòng cổ,Collar eyestay deco,領口眼片飾片,TRUE
Material,Trang trí hậu,Heel patch,後套飾片,TRUE
Material,Trang trí hậu dưới,Bottom heel patch,後套飾片下,TRUE
Material,Trang trí lót thân,Quarter lining deco,內理飾片,TRUE
Material,Trang trí lưỡi gà,Tongue deco,鞋舌飾片,TRUE
Job title,Giám đốc,Manager,經理,TRUE
Material,Trang trí thân sau,Rear quarter deco,鞋身後飾片,TRUE
Material,Trang trí thân trên,Top quarter deco,鞋身上飾片,TRUE
Material,Trang trí thân trước,Front quarter deco,鞋身前飾片,TRUE
Dept name,Trang trí vòng cổ,Collar deco,領口飾片,TRUE
Material,Đánh keo,Mixing rubber,打膠,TRUE
Dept name,Rập giấy,pattern,紙板,TRUE
Quality,Khách hàng thứ ba,third party,三方,TRUE
Material,kiểm hàng,inspections,驗貨,TRUE
Material,Máy chặt phẳng,Roller cutting machine,裁斷機,TRUE
Material,Máy chặt bán tự động,Semi auto cutting machine,半自動裁斷機,TRUE
Material,"Máy chặt cóc (Chặt da, TPU, rạng)",Swing arm cutting machine,皮料裁斷機,TRUE
Machine,Máy chặt tự động,Auto Cutting Machine,自動裁斷機,TRUE
Machine,Máy cắt Laser,Laser  cutting machine,鐳射機,TRUE
Material,Máy ép chuyển in đế trung,Heat transfer logo sockliner, ,TRUE
Material,Máy ép cao tầng,Embossing machine, 压高周波,TRUE
Machine,Máy in lụa,Printing machine,印花機,TRUE
Material,Máy đập tẻ có keo,Glue and hammering machine,自動上膠錘平機,TRUE
Material,Máy lạng,Skiving machine, 削皮,TRUE
Material,Máy cà,Rough machine, 滚压,TRUE
Material,Máy mài muose,Buffing mouse machine,磨泡棉机,TRUE
Material,Máy đục,Punching machine, 冲孔機,TRUE
Machine,Máy tán,Eyeleting machine,打眼機,TRUE
Machine,Máy gấp biên,Edge folding machine, 修边机,TRUE
Machine,Máy đập bằng,Hammering machine ,捶平機,TRUE
Machine,Máy may chương trình,Computer Stitching machine,電腦針車,TRUE
Machine,Máy ép tem ni số,Tongue label pressing machine,燙標機,TRUE
Machine,Máy phun keo,Hotmelt spraying macthine,噴膠機,TRUE
Machine,Máy xén,Trimming machine,修邊機,TRUE
